"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","10.81","$1.23B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","192.29","$111.97B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","13.31","$565.48M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","60.48","$8.96B","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","20","$1.91B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","4.07","$88.09M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","46.48","$7.9B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.56","$484.12M","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","2.51","$61.75M","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",
"AIR","AAR Corp.","37.01","$1.3B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","47.54","$3.45B","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","19.13","$40.78B","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","69.91","$122.79B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","88.45","$133.05B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","20.08","$1.32B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.33","$117.09M","2006","n/a","n/a","https://www.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","5.44","$464.62M","2007","n/a","n/a","https://www.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","11.16","$145.91M","2011","n/a","n/a","https://www.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.68","$89.44M","1992","n/a","n/a","https://www.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.9","$849.99M","2007","n/a","n/a","https://www.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","34.57","$2.28B","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","26.46","$2.16B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc","148.42","$94.8B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","8.73","$896.92M","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","21.65","$58.03M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","21.9","$1.34B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands, Inc. ","115.55","$4.61B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","23.17","$1.73B","2016","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","13.56","$1.37B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","15.71","$455.52M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","7.39","$861.34M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",
"ADNT","Adient plc","17.86","$1.67B","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADT","ADT Inc.","7","$5.37B","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","49.15","$2.89B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","164.33","$11.98B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","24.35","$2.16B","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","24.63","$1.41B","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","28.96","$863.09M","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",
"AVK","Advent Claymore Convertible Securities and Income Fund","13.68","$472.31M","2003","n/a","n/a","https://www.nasdaq.com/symbol/avk",
"ACM","AECOM","29.57","$4.62B","2007","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/acm",
"AEB","Aegon NV","20.25","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.67","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.09","$10.28B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.62","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AER","Aercap Holdings N.V.","45.02","$6.62B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","3.5","$194.44M","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","38.85","$3.04B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","106.5","$5.61B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","47.64","$36.27B","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","17.36","$498.99M","2011","n/a","n/a","https://www.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.02","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","24.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mitt^b",
"AGCO","AGCO Corporation","61.45","$4.81B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","71.65","$22.82B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","39.17","$9.19B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",
